77174.77,77779.63,75700,76968.21
76968.22,78231.26,74604,76292.98
76292.98,76958,74911.14,76660.79
76660.78,77970.62,76628.28,77759.99
77760,79360,77564.62,78850.06
78850.06,79288.28,78283.27,78341.5
78341.5,78962.78,77888,78738.61
78738.6,79186.81,77644.09,78753.32
78753.32,78999.99,77950,78794.67
78794.67,79084.29,77950,78079.5
78079.5,78458.89,77055.54,78132.33
78132.34,78134.53,72945.5,74935
74935,76960,74586.54,75770.21
75770.21,76971.52,75467.22,76698.17
76698.17,76830.69,76105.3,76514.3
76514.3,76607.69,75666,76017.25
76017.25,76260.85,73794.11,74136.36
74136.48,74249.83,72169,73923.29
73923.3,74144,71888,73165.83
73165.84,73341.18,71152.78,71223.25
71223.25,71622.82,70140,70756.85
70756.86,71978.58,69922,70318.35
70318.35,70872.04,66720.15,67489.07
67489.08,68681.81,65200,65265.65
65265.66,65700,62345,62909.86
62909.87,66010,60000,64168.33
64168.33,66826.5,63914.62,64856
64856,66755.13,64500,66631.32
66631.32,69192,66114.49,68626
68625.99,71500,68428.19,70731.46
70731.45,71751.33,69837.35,70580.26
70580.26,70928.75,69718,70918.99
70918.99,71690.07,67300,68087.14
68087.13,68790,67582.48,67972.65
67972.65,69999.99,67901.89,69151.5
69151.5,69898,68531.5,69373.61
69373.61,69728.83,68787.34,69289.38
69289.37,69696.57,68888,69099.99
69100,69719.07,68952.01,69710.69
69710.69,71220,69514.15,70999.98
70999.99,71554.95,70707.39,71188.99
71188.99,71538.05,70251.33,71422.97
71422.96,72271.41,70000,70330.38
70330.38,71453.53,70068.18,71307.56
71307.56,71359.37,70311.7,70422.59
70422.59,70608.83,68420.58,68928.72
68928.71,69884.82,68308,69563.37
69563.37,71075.31,69100,70957.01
70957.01,71126,69823.52,70138
70138,70527.59,69208.61,69511.83
69511.83,69906.5,68682,68919.66
68919.66,69417.7,68459.89,68535.01
68535.02,69591.2,67800,69293.37
69293.37,69993.65,68604.63,69062.01
69062,69136.91,68362,68841.29
68841.28,69292.88,68011.11,68187.99
68188,68325,66557.99,67032.72
67032.71,67134.42,66369.49,67053.03
67053.03,68834.34,65756,66519.73
66519.72,67860.44,65876,67586.67
67586.66,68369.77,66787.7,67082.52
67082.52,68047.48,67055.53,67580.99
67581,67682.69,66670.45,67217.72
67217.71,68299,66891.6,68076.01
68076.01,68410.52,67014.98,67134.74
67134.74,67232.04,65118,65788.36
65788.36,66488.9,65215.06,66272.17
66272.17,66814,65872.46,66553.08
66553.09,66671.62,66002.98,66208.96
66208.96,67226.66,66191.52,67171.42
