run_utc,as_of_bar_utc,last_close,balance,trades_new,position
2026-09-22T03:58:08+00:00,2026-09-21T20:00:00+00:00,86625.28,101298.6,0,flat
2026-09-22T04:22:37+00:00,2026-09-22T00:00:00+00:00,85710.06,101298.6,0,flat
2026-09-22T09:21:21+00:00,2026-09-22T04:00:00+00:00,85349.51,101298.6,0,flat
2026-09-22T17:02:13+00:00,2026-09-22T12:00:00+00:00,86431.43,101298.6,0,flat
2026-09-22T23:00:34+00:00,2026-09-22T16:00:00+00:00,86258.34,101298.6,0,flat
2026-09-23T00:40:38+00:00,2026-09-22T20:00:00+00:00,86150.48,101298.6,0,flat
2026-09-23T04:51:40+00:00,2026-09-23T00:00:00+00:00,86711.33,101298.6,0,flat
2026-09-23T13:42:12+00:00,2026-09-23T08:00:00+00:00,85665.83,101298.6,0,flat
2026-09-23T19:42:50+00:00,2026-09-23T12:00:00+00:00,83991.01,101298.6,0,flat
2026-09-23T22:59:08+00:00,2026-09-23T16:00:00+00:00,84501.99,101298.6,0,flat
2026-09-24T02:47:44+00:00,2026-09-23T20:00:00+00:00,84414.36,101298.6,0,flat
2026-09-24T09:22:27+00:00,2026-09-24T04:00:00+00:00,84531.47,101298.6,0,flat
2026-09-24T17:18:36+00:00,2026-09-24T12:00:00+00:00,84408.34,101195.72,1,flat
2026-09-24T23:15:16+00:00,2026-09-24T16:00:00+00:00,84378.98,101134.82,1,flat
2026-09-25T05:05:25+00:00,2026-09-25T00:00:00+00:00,84233.55,101134.82,0,flat
2026-09-25T13:55:32+00:00,2026-09-25T08:00:00+00:00,84591.89,101134.82,0,flat
